nextJobOne,state,city,CaBRating,CaVRating,jobId,numJobs,nextJobTwo,CORating,company,SLRating,WLBRating,title,id
,NY,New York,4.1,4.1,281350,4,,3.4,Apple,3.5,3.3,Data Strategist,59
,NY,New York,4.1,4.1,4279,4,,3.4,Apple,3.5,3.3,Software Engineer,60
,NY,New York,4.1,4.1,921096,3,,3.4,Apple,3.5,3.3,Enterprise Operations Analyst,61
prep cook,CA,San Francisco,4.1,4.1,45091,14,lead cook,3.4,Apple,3.5,3.3,Cook,62
customer service representative,CA,San Francisco,4.1,4.1,34413,14,customer service,3.4,Apple,3.5,3.3,Host,63
manager,CA,San Francisco,4.1,4.1,11520,14,,3.4,Apple,3.5,3.3,Server,64
crew member,CA,San Francisco,4.1,4.1,35792,13,line cook,3.4,Apple,3.5,3.3,Dishwasher,65
,CA,San Francisco,4.1,4.1,21392,10,,3.4,Apple,3.5,3.3,Genius,66
manager,CA,San Francisco,4.1,4.1,30513,10,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,67
customer service representative,CA,San Francisco,4.1,4.1,35961,9,customer service rep,3.4,Apple,3.5,3.3,Service Specialist,68
,CA,San Francisco,4.1,4.1,9245,8,,3.4,Apple,3.5,3.3,Apple Expert,69
,CA,San Francisco,4.1,4.1,9259,8,,3.4,Apple,3.5,3.3,Apple Specialist,70
project manager,CA,San Francisco,4.1,4.1,62619,8,business development manager,3.4,Apple,3.5,3.3,Business Specialist,71
,CA,San Francisco,4.1,4.1,160696,8,,3.4,Apple,3.5,3.3,Apple Creative,72
analyst,CA,San Francisco,4.1,4.1,30663,8,senior analyst,3.4,Apple,3.5,3.3,Specialist,73
,CA,San Francisco,4.1,4.1,59883,8,,3.4,Apple,3.5,3.3,Creative,74
administrative assistant,CA,San Francisco,4.1,4.1,10274,8,intern,3.4,Apple,3.5,3.3,Inventory Specialist,75
,CA,San Francisco,4.1,4.1,605825,8,,3.4,Apple,3.5,3.3,Apple Business Specialist,76
business analyst,CA,San Francisco,4.1,4.1,31973,8,contractor,3.4,Apple,3.5,3.3,Expert,77
,CA,San Francisco,4.1,4.1,66972,8,,3.4,Apple,3.5,3.3,Apple Genius,78
,CA,San Francisco,4.1,4.1,213919,7,,3.4,Apple,3.5,3.3,Ios Software Engineer,79
,CA,San Francisco,4.1,4.1,2954898,6,,3.4,Apple,3.5,3.3,IT Service Desk Support,80
manager,CA,San Francisco,4.1,4.1,64634,5,senior software engineer,3.4,Apple,3.5,3.3,Support Engineer,81
technical inspector,CA,San Francisco,4.1,4.1,55608,5,legal secretary,3.4,Apple,3.5,3.3,Quality Assurance Representative,82
senior engineer,CA,San Francisco,4.1,4.1,37773,5,manager,3.4,Apple,3.5,3.3,Project Engineer,83
,CA,San Francisco,4.1,4.1,671517,4,,3.4,Apple,3.5,3.3,Retail Business Analyst,84
,CA,San Francisco,4.1,4.1,521805,4,,3.4,Apple,3.5,3.3,Mac Technician,85
,CA,San Francisco,4.1,4.1,1441185,4,,3.4,Apple,3.5,3.3,Sr Interactive Designer,86
technical support analyst,CA,San Francisco,4.1,4.1,10944,3,account,3.4,Apple,3.5,3.3,IT Support Specialist,87
,CA,San Francisco,4.1,4.1,20941,3,,3.4,Apple,3.5,3.3,Technical Solutions Engineer,88
,TX,Austin,4.1,4.1,984949,6,,3.4,Apple,3.5,3.3,Apple Masters Mobility,89
,TX,Austin,4.1,4.1,158784,5,,3.4,Apple,3.5,3.3,Revenue Operations Analyst,90
customer service,TX,Austin,4.1,4.1,13492,4,sales associate,3.4,Apple,3.5,3.3,Membership Representative,91
business systems analyst,TX,Austin,4.1,4.1,62731,4,software engineer,3.4,Apple,3.5,3.3,Business Analyst,92
,TX,Austin,4.1,4.1,277565,4,,3.4,Apple,3.5,3.3,Mobile App Developer,93
,TX,Austin,4.1,4.1,82529,4,,3.4,Apple,3.5,3.3,Data Mining Scientist,94
,TX,Austin,4.1,4.1,116494,4,,3.4,Apple,3.5,3.3,"Specialist, Human Resources Records Management",95
it business analyst,TX,Austin,4.1,4.1,12301,4,business systems analyst,3.4,Apple,3.5,3.3,Business Data Analyst,96
,TX,Austin,4.1,4.1,30488,3,,3.4,Apple,3.5,3.3,Solutions Architect,97
,TX,Austin,4.1,4.1,598740,3,,3.4,Apple,3.5,3.3,CPU Microarchitecture/RTL Engineer,98
,TX,Austin,4.1,4.1,635757,3,,3.4,Apple,3.5,3.3,Platform Operations Engineer,99
cad engineer,TX,Austin,4.1,4.1,2497,3,senior design engineer,3.4,Apple,3.5,3.3,Physical Design Engineer,100
,TX,Austin,4.1,4.1,196928,3,,3.4,Apple,3.5,3.3,Implementation Design Engineer,101
,TX,Austin,4.1,4.1,87733,3,,3.4,Apple,3.5,3.3,Logistics Solution Analyst,102
,TX,Austin,4.1,4.1,715031,3,,3.4,Apple,3.5,3.3,Bid and Contract Specialist,103
,TX,Austin,4.1,4.1,4279,2,,3.4,Apple,3.5,3.3,Software Engineer,104
,TX,Austin,4.1,4.1,579740,2,,3.4,Apple,3.5,3.3,Data Science Engineer,105
manager,TX,Austin,4.1,4.1,58305,2,,3.4,Apple,3.5,3.3,Technical Support Engineer,106
field technician,TX,Austin,4.1,4.1,10950,2,migration technician,3.4,Apple,3.5,3.3,IT Support Technician,107
,TX,Austin,4.1,4.1,40362,2,,3.4,Apple,3.5,3.3,Design Verification Engineer,108
,TX,Austin,4.1,4.1,154943,2,,3.4,Apple,3.5,3.3,CPU Design Verification Engineer,109
sales associate,TX,Austin,4.1,4.1,44836,1,administrative assistant,3.4,Apple,3.5,3.3,Sales Representative,110
,TX,Austin,4.1,4.1,276664,1,,3.4,Apple,3.5,3.3,"Associate Professor (Tenure), Computer Science",111
,TX,Austin,4.1,4.1,21392,1,,3.4,Apple,3.5,3.3,Genius,112
,TX,Austin,4.1,4.1,600537,1,,3.4,Apple,3.5,3.3,Engineer Power Systems Model Management,113
,TX,Austin,4.1,4.1,605825,1,,3.4,Apple,3.5,3.3,Apple Business Specialist,114
network administrator,TX,Austin,4.1,4.1,58525,1,systems administrator,3.4,Apple,3.5,3.3,Technical Support Specialist,115
,TX,Austin,4.1,4.1,9245,1,,3.4,Apple,3.5,3.3,Apple Expert,116
,TX,Austin,4.1,4.1,1158014,1,,3.4,Apple,3.5,3.3,"Host, To-Go",117
,TX,Austin,4.1,4.1,149820,1,,3.4,Apple,3.5,3.3,Americas Supply Demand Planner,118
mobile developer,TX,Austin,4.1,4.1,190122,1,software developer,3.4,Apple,3.5,3.3,IOS Developer,119
consultant,TX,Austin,4.1,4.1,37695,1,,3.4,Apple,3.5,3.3,QC Technician,120
,TX,Austin,4.1,4.1,9259,1,,3.4,Apple,3.5,3.3,Apple Specialist,121
,TX,Austin,4.1,4.1,59883,1,,3.4,Apple,3.5,3.3,Creative,122
manager,TX,Austin,4.1,4.1,30513,1,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,123
customer service representative,IL,Chicago,4.1,4.1,35961,10,customer service rep,3.4,Apple,3.5,3.3,Service Specialist,124
,IL,Chicago,4.1,4.1,21392,8,,3.4,Apple,3.5,3.3,Genius,125
,IL,Chicago,4.1,4.1,9245,8,,3.4,Apple,3.5,3.3,Apple Expert,126
,IL,Chicago,4.1,4.1,9259,8,,3.4,Apple,3.5,3.3,Apple Specialist,127
project manager,IL,Chicago,4.1,4.1,62619,8,business development manager,3.4,Apple,3.5,3.3,Business Specialist,128
,IL,Chicago,4.1,4.1,160696,8,,3.4,Apple,3.5,3.3,Apple Creative,129
analyst,IL,Chicago,4.1,4.1,30663,8,senior analyst,3.4,Apple,3.5,3.3,Specialist,130
,IL,Chicago,4.1,4.1,605825,8,,3.4,Apple,3.5,3.3,Apple Business Specialist,131
,IL,Chicago,4.1,4.1,59883,8,,3.4,Apple,3.5,3.3,Creative,132
manager,IL,Chicago,4.1,4.1,30513,8,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,133
business analyst,IL,Chicago,4.1,4.1,31973,8,contractor,3.4,Apple,3.5,3.3,Expert,134
,IL,Chicago,4.1,4.1,66972,8,,3.4,Apple,3.5,3.3,Apple Genius,135
administrative assistant,IL,Chicago,4.1,4.1,10274,8,intern,3.4,Apple,3.5,3.3,Inventory Specialist,136
,IL,Chicago,4.1,4.1,110070,5,,3.4,Apple,3.5,3.3,Operations Support Engineer,137
,IL,Chicago,4.1,4.1,463296,5,,3.4,Apple,3.5,3.3,IOS Architect,138
,IL,Chicago,4.1,4.1,118434,5,,3.4,Apple,3.5,3.3,Mobile Software Engineer,139
,IL,Chicago,4.1,4.1,708306,4,,3.4,Apple,3.5,3.3,Field Training Supervisor,140
manager,IL,Chicago,4.1,4.1,50838,4,,3.4,Apple,3.5,3.3,Sales Associate,141
,IL,Chicago,4.1,4.1,4279,4,,3.4,Apple,3.5,3.3,Software Engineer,142
district sales manager,IL,Chicago,4.1,4.1,20891,3,manager,3.4,Apple,3.5,3.3,Technical Sales Representative,143
,IL,Chicago,4.1,4.1,688526,3,,3.4,Apple,3.5,3.3,Pre-Sales Solutions Associate,144
receptionist,IL,Chicago,4.1,4.1,59678,3,customer service representative,3.4,Apple,3.5,3.3,Customer Care Agent,145
revenue manager,IL,Chicago,4.1,4.1,28000,3,financial analyst,3.4,Apple,3.5,3.3,Revenue Analyst,146
,IL,Chicago,4.1,4.1,1513210,3,,3.4,Apple,3.5,3.3,Risk Revenue Analyst,147
supervisor,IL,Chicago,4.1,4.1,22582,2,technical writer,3.4,Apple,3.5,3.3,Help Desk Agent,148
mobile developer,IL,Chicago,4.1,4.1,190122,2,software developer,3.4,Apple,3.5,3.3,IOS Developer,149
