nextJobTwo,nextJobOne,jobId,CaBRating,city,id,state,WLBRating,title,company,CaVRating,CORating,numJobs,SLRating
,,43645,4.5,New York,0,NY,3.8,Financial Services Representative I,Facebook,4.5,4.3,27,4.2
customer service representative,head teller,20857,4.5,New York,1,NY,3.8,Teller I,Facebook,4.5,4.3,21,4.2
administrative assistant,sales associate,60233,4.5,New York,2,NY,3.8,Customer Service Representative I,Facebook,4.5,4.3,13,4.2
sales associate,customer service representative,26256,4.5,New York,3,NY,3.8,Store Supervisor,Facebook,4.5,4.3,10,4.2
member service representative,receptionist,33688,4.5,New York,4,NY,3.8,Head Teller,Facebook,4.5,4.3,10,4.2
account manager,executive assistant,134375,4.5,New York,5,NY,3.8,Social Media Coordinator,Facebook,4.5,4.3,9,4.2
,,690002,4.5,New York,6,NY,3.8,Hourly Food Service Worker,Facebook,4.5,4.3,8,4.2
,,214607,4.5,New York,7,NY,3.8,Social Media Associate,Facebook,4.5,4.3,7,4.2
,,57646,4.5,New York,8,NY,3.8,Marketing Coordinator,Facebook,4.5,4.3,7,4.2
legal intern,staff writer,194651,4.5,New York,9,NY,3.8,Social Media Intern,Facebook,4.5,4.3,6,4.2
,,215345,4.5,New York,10,NY,3.8,Outside Sales/Account Representative,Facebook,4.5,4.3,6,4.2
account manager,branch manager,14087,4.5,New York,11,NY,3.8,Mortgage Loan Officer,Facebook,4.5,4.3,5,4.2
,,6538,4.5,New York,12,NY,3.8,CISO,Facebook,4.5,4.3,4,4.2
technical recruiter,office manager,32680,4.5,New York,13,NY,3.8,Recruiter,Facebook,4.5,4.3,4,4.2
,,106933,4.5,New York,14,NY,3.8,IT Audit Compliance Specialist,Facebook,4.5,4.3,4,4.2
,marketing manager,68707,4.5,New York,15,NY,3.8,Social Media Specialist,Facebook,4.5,4.3,4,4.2
intern,administrative assistant,57607,4.5,New York,16,NY,3.8,Marketing Associate,Facebook,4.5,4.3,4,4.2
,,472028,4.5,New York,17,NY,3.8,Data Scientist - Analytics,Facebook,4.5,4.3,4,4.2
,,371530,4.5,New York,18,NY,3.8,Social Media Editor,Facebook,4.5,4.3,4,4.2
marketing associate,volunteer,13314,4.5,New York,19,NY,3.8,Marketing Intern,Facebook,4.5,4.3,4,4.2
,,281350,4.5,New York,20,NY,3.8,Data Strategist,Facebook,4.5,4.3,4,4.2
associate producer,video editor director of photography,47407,4.5,New York,21,NY,3.8,Video Editor,Facebook,4.5,4.3,4,4.2
,,29637,4.5,New York,22,NY,3.8,Investment Banking Summer Analyst,Facebook,4.5,4.3,3,4.2
,,29598,4.5,New York,23,NY,3.8,Investigative Analyst,Facebook,4.5,4.3,3,4.2
,,133146,4.5,New York,24,NY,3.8,Marketing Communications Intern,Facebook,4.5,4.3,3,4.2
business analyst,account manager,13212,4.5,New York,25,NY,3.8,Media Analyst,Facebook,4.5,4.3,3,4.2
,,4279,4.5,Menlo Park,26,CA,3.8,Software Engineer,Facebook,4.5,4.3,8,4.2
forklift operator,receptionist,61340,4.5,Menlo Park,27,CA,3.8,Production Worker,Facebook,4.5,4.3,6,4.2
freelance copywriter,contributing writer,65231,4.5,Menlo Park,28,CA,3.8,Copywriter,Facebook,4.5,4.3,6,4.2
,,837923,4.5,Menlo Park,29,CA,3.8,digital content &amp; social media manager - webmaster,Facebook,4.5,4.3,6,4.2
realtor,inside sales representative,12862,4.5,Menlo Park,30,CA,3.8,Market Research,Facebook,4.5,4.3,6,4.2
senior product designer,senior designer,37257,4.5,Menlo Park,31,CA,3.8,Product Designer,Facebook,4.5,4.3,6,4.2
,,462336,4.5,Menlo Park,32,CA,3.8,Performance and Capacity Engineer,Facebook,4.5,4.3,5,4.2
senior systems engineer,manager,30513,4.5,Menlo Park,33,CA,3.8,Solutions Engineer,Facebook,4.5,4.3,5,4.2
senior software engineer,manager,64634,4.5,Menlo Park,34,CA,3.8,Support Engineer,Facebook,4.5,4.3,5,4.2
,,582688,4.5,Menlo Park,35,CA,3.8,Growth Marketing Analyst,Facebook,4.5,4.3,5,4.2
senior recruiter,contractor,58294,4.5,Menlo Park,36,CA,3.8,Technical Recruiter,Facebook,4.5,4.3,4,4.2
planning assistant,assistant manager,28308,4.5,Menlo Park,37,CA,3.8,Sales Trainee,Facebook,4.5,4.3,4,4.2
,,87868,4.5,Menlo Park,38,CA,3.8,Infrastructure Software Engineer,Facebook,4.5,4.3,4,4.2
executive administrative assistant,inside sales representative,28424,4.5,Menlo Park,39,CA,3.8,Sales Development Representative,Facebook,4.5,4.3,4,4.2
,,1113669,4.5,Menlo Park,40,CA,3.8,Automation Engineer (Infrastructure),Facebook,4.5,4.3,4,4.2
,,27595,4.5,Menlo Park,41,CA,3.8,Frontend Engineer,Facebook,4.5,4.3,4,4.2
,,27532,4.5,Menlo Park,42,CA,3.8,Front End Engineer,Facebook,4.5,4.3,4,4.2
,,1226062,4.5,Menlo Park,43,CA,3.8,Computer Vision Intern,Facebook,4.5,4.3,4,4.2
area manager,contractor,46157,4.5,Menlo Park,44,CA,3.8,Data Engineer,Facebook,4.5,4.3,4,4.2
,,232704,4.5,Menlo Park,45,CA,3.8,Warehouse Loader,Facebook,4.5,4.3,4,4.2
,,472028,4.5,Menlo Park,46,CA,3.8,Data Scientist - Analytics,Facebook,4.5,4.3,4,4.2
software developer,it specialist,244632,4.5,Menlo Park,47,CA,3.8,Devops Engineer,Facebook,4.5,4.3,4,4.2
marketing presentations manager,copywriter freelance,128843,4.5,Menlo Park,48,CA,3.8,Marketing Copywriter,Facebook,4.5,4.3,4,4.2
,,66101,4.5,Menlo Park,49,CA,3.8,Development Expert,Facebook,4.5,4.3,3,4.2
,,428372,4.5,Menlo Park,50,CA,3.8,Marketing Performance Analyst,Facebook,4.5,4.3,3,4.2
,,648675,4.5,Menlo Park,51,CA,3.8,UI-UX Designer,Facebook,4.5,4.3,3,4.2
cashier,cna,56787,4.5,Chicago,52,IL,3.8,Certified Nursing Assistant,Facebook,4.5,4.3,13,4.2
home health aide,dietary aide,38373,4.5,Chicago,53,IL,3.8,Food Service Worker,Facebook,4.5,4.3,9,4.2
account manager,supervisor,60210,4.5,Chicago,54,IL,3.8,Customer Service Representative,Facebook,4.5,4.3,7,4.2
lead cook,prep cook,45091,4.5,Chicago,55,IL,3.8,Cook,Facebook,4.5,4.3,6,4.2
,,74370,4.5,Chicago,56,IL,3.8,Marketing Internship,Facebook,4.5,4.3,6,4.2
contractor,content producer,4690,4.5,Chicago,57,IL,3.8,Social Media Strategist,Facebook,4.5,4.3,5,4.2
account manager,executive assistant,134375,4.5,Chicago,58,IL,3.8,Social Media Coordinator,Facebook,4.5,4.3,4,4.2
intern,sales associate,59503,4.5,Chicago,59,IL,3.8,Crew Member,Facebook,4.5,4.3,4,4.2
phlebotomist,medical assistant,1329,4.5,Chicago,60,IL,3.8,Patient Care Technician,Facebook,4.5,4.3,4,4.2
,,618828,4.5,Chicago,61,IL,3.8,Recruitment Sourcing Specialist,Facebook,4.5,4.3,3,4.2
controller,project manager,43960,4.5,Chicago,62,IL,3.8,Financial Analyst,Facebook,4.5,4.3,3,4.2
,,1257676,4.5,Chicago,63,IL,3.8,"Cashier Retail, Customer Service",Facebook,4.5,4.3,3,4.2
,,357134,4.5,Chicago,64,IL,3.8,Driver - Hourly,Facebook,4.5,4.3,3,4.2
,,519552,4.5,Chicago,65,IL,3.8,Social Media Analyst Intern,Facebook,4.5,4.3,3,4.2
,,451269,4.5,Chicago,66,IL,3.8,Patient Access Representative I,Facebook,4.5,4.3,3,4.2
,,158475,4.5,Chicago,67,IL,3.8,Staff Nurse I,Facebook,4.5,4.3,3,4.2
executive assistant,executive administrative assistant,15954,4.5,Chicago,68,IL,3.8,Administrative Assistant,Facebook,4.5,4.3,3,4.2
,,101403,4.5,Chicago,69,IL,3.8,Digital Coordinator,Facebook,4.5,4.3,3,4.2
case manager,substitute teacher,13518,4.5,Chicago,70,IL,3.8,Mental Health Counselor,Facebook,4.5,4.3,3,4.2
,,727020,4.5,Chicago,71,IL,3.8,Corporate Legal Secretary,Facebook,4.5,4.3,2,4.2
,,201530,4.5,Chicago,72,IL,3.8,CNA/Unit Secretary,Facebook,4.5,4.3,2,4.2
field marketing manager,financial analyst,44031,4.5,Chicago,73,IL,3.8,Sales Operations Analyst,Facebook,4.5,4.3,2,4.2
,,348614,4.5,Chicago,74,IL,3.8,Junior Mobile Developer,Facebook,4.5,4.3,2,4.2
,,30488,4.5,Chicago,75,IL,3.8,Solutions Architect,Facebook,4.5,4.3,2,4.2
camp counselor,graduate assistant,50514,4.5,Chicago,76,IL,3.8,Resident Assistant,Facebook,4.5,4.3,2,4.2
,,690002,4.5,Chicago,77,IL,3.8,Hourly Food Service Worker,Facebook,4.5,4.3,2,4.2
server,research intern,122590,4.5,Chicago,78,IL,3.8,Public Relations &amp; Communications Intern,Facebook,4.5,4.3,2,4.2
,,1112547,4.5,Chicago,79,IL,3.8,Back-end PHP Developer,Facebook,4.5,4.3,2,4.2
,,157677,4.5,Atlanta,80,GA,3.8,Weekend Registered Nurse,Facebook,4.5,4.3,23,4.2
,consultant,58511,4.5,Atlanta,81,GA,3.8,Technical Support Representative,Facebook,4.5,4.3,9,4.2
network engineer,project engineer,46527,4.5,Atlanta,82,GA,3.8,Operations Engineer,Facebook,4.5,4.3,9,4.2
account manager,account executive,13373,4.5,Atlanta,83,GA,3.8,Marketing Representative,Facebook,4.5,4.3,7,4.2
,marketing manager,68707,4.5,Atlanta,84,GA,3.8,Social Media Specialist,Facebook,4.5,4.3,5,4.2
,,372873,4.5,Atlanta,85,GA,3.8,Corporate Summer Intern,Facebook,4.5,4.3,5,4.2
intern,administrative assistant,50822,4.5,Atlanta,86,GA,3.8,Sales Assistant,Facebook,4.5,4.3,5,4.2
account manager,executive assistant,134375,4.5,Atlanta,87,GA,3.8,Social Media Coordinator,Facebook,4.5,4.3,4,4.2
customer service representative,patient representative,9785,4.5,Atlanta,88,GA,3.8,Insurance Specialist,Facebook,4.5,4.3,4,4.2
marketing associate,volunteer,13314,4.5,Atlanta,89,GA,3.8,Marketing Intern,Facebook,4.5,4.3,4,4.2
,,41521,4.5,Atlanta,90,GA,3.8,Digital Analyst,Facebook,4.5,4.3,4,4.2
,,1257676,4.5,Atlanta,91,GA,3.8,"Cashier Retail, Customer Service",Facebook,4.5,4.3,3,4.2
,,690002,4.5,Atlanta,92,GA,3.8,Hourly Food Service Worker,Facebook,4.5,4.3,3,4.2
volunteer,office manager,37978,4.5,Atlanta,93,GA,3.8,Public Relations Intern,Facebook,4.5,4.3,3,4.2
videographer,senior translator,52630,4.5,Atlanta,94,GA,3.8,News Assistant,Facebook,4.5,4.3,3,4.2
,,30488,4.5,Atlanta,95,GA,3.8,Solutions Architect,Facebook,4.5,4.3,2,4.2
,,145614,4.5,Atlanta,96,GA,3.8,Terminal Operator,Facebook,4.5,4.3,2,4.2
home health aide,dietary aide,38373,4.5,Atlanta,97,GA,3.8,Food Service Worker,Facebook,4.5,4.3,2,4.2
,,102110,4.5,Atlanta,98,GA,3.8,Enterprise Security Engineer,Facebook,4.5,4.3,2,4.2
,,245397,4.5,Atlanta,99,GA,3.8,Public Information Associate,Facebook,4.5,4.3,2,4.2
test engineer,web developer,2841,4.5,Atlanta,100,GA,3.8,Associate Software Engineer,Facebook,4.5,4.3,2,4.2
technical writer,specialist consultant,320,4.5,Atlanta,101,GA,3.8,Configuration Specialist,Facebook,4.5,4.3,2,4.2
receptionist,office assistant,57603,4.5,Atlanta,102,GA,3.8,Marketing Assistant,Facebook,4.5,4.3,2,4.2
,,371530,4.5,Atlanta,103,GA,3.8,Social Media Editor,Facebook,4.5,4.3,2,4.2
project manager,supervising producer,19018,4.5,Atlanta,104,GA,3.8,Line Producer,Facebook,4.5,4.3,2,4.2
,,56673,4.5,Atlanta,105,GA,3.8,Category Management Analyst,Facebook,4.5,4.3,1,4.2
legal intern,staff writer,194651,4.5,Atlanta,106,GA,3.8,Social Media Intern,Facebook,4.5,4.3,1,4.2
,,1476480,4.5,Atlanta,107,GA,3.8,Custodial Service Worker,Facebook,4.5,4.3,1,4.2
,,1026211,4.5,Atlanta,108,GA,3.8,Business resilience relationship manager,Facebook,4.5,4.3,1,4.2
,,263149,4.5,Atlanta,109,GA,3.8,Electrician I,Facebook,4.5,4.3,1,4.2
senior staff accountant,financial analyst,5361,4.5,Atlanta,110,GA,3.8,Staff Accountant,Facebook,4.5,4.3,1,4.2
,,145745,4.5,Atlanta,111,GA,3.8,Delivery Driver Cdl,Facebook,4.5,4.3,1,4.2
,,4279,4.5,San Francisco,112,CA,3.8,Software Engineer,Facebook,4.5,4.3,8,4.2
forklift operator,receptionist,61340,4.5,San Francisco,113,CA,3.8,Production Worker,Facebook,4.5,4.3,6,4.2
freelance copywriter,contributing writer,65231,4.5,San Francisco,114,CA,3.8,Copywriter,Facebook,4.5,4.3,6,4.2
,,837923,4.5,San Francisco,115,CA,3.8,digital content &amp; social media manager - webmaster,Facebook,4.5,4.3,6,4.2
realtor,inside sales representative,12862,4.5,San Francisco,116,CA,3.8,Market Research,Facebook,4.5,4.3,6,4.2
senior product designer,senior designer,37257,4.5,San Francisco,117,CA,3.8,Product Designer,Facebook,4.5,4.3,6,4.2
,,462336,4.5,San Francisco,118,CA,3.8,Performance and Capacity Engineer,Facebook,4.5,4.3,5,4.2
senior systems engineer,manager,30513,4.5,San Francisco,119,CA,3.8,Solutions Engineer,Facebook,4.5,4.3,5,4.2
senior software engineer,manager,64634,4.5,San Francisco,120,CA,3.8,Support Engineer,Facebook,4.5,4.3,5,4.2
,,582688,4.5,San Francisco,121,CA,3.8,Growth Marketing Analyst,Facebook,4.5,4.3,5,4.2
senior recruiter,contractor,58294,4.5,San Francisco,122,CA,3.8,Technical Recruiter,Facebook,4.5,4.3,4,4.2
planning assistant,assistant manager,28308,4.5,San Francisco,123,CA,3.8,Sales Trainee,Facebook,4.5,4.3,4,4.2
,,87868,4.5,San Francisco,124,CA,3.8,Infrastructure Software Engineer,Facebook,4.5,4.3,4,4.2
executive administrative assistant,inside sales representative,28424,4.5,San Francisco,125,CA,3.8,Sales Development Representative,Facebook,4.5,4.3,4,4.2
,,1113669,4.5,San Francisco,126,CA,3.8,Automation Engineer (Infrastructure),Facebook,4.5,4.3,4,4.2
,,27595,4.5,San Francisco,127,CA,3.8,Frontend Engineer,Facebook,4.5,4.3,4,4.2
,,27532,4.5,San Francisco,128,CA,3.8,Front End Engineer,Facebook,4.5,4.3,4,4.2
,,1226062,4.5,San Francisco,129,CA,3.8,Computer Vision Intern,Facebook,4.5,4.3,4,4.2
area manager,contractor,46157,4.5,San Francisco,130,CA,3.8,Data Engineer,Facebook,4.5,4.3,4,4.2
,,232704,4.5,San Francisco,131,CA,3.8,Warehouse Loader,Facebook,4.5,4.3,4,4.2
,,472028,4.5,San Francisco,132,CA,3.8,Data Scientist - Analytics,Facebook,4.5,4.3,4,4.2
software developer,it specialist,244632,4.5,San Francisco,133,CA,3.8,Devops Engineer,Facebook,4.5,4.3,4,4.2
marketing presentations manager,copywriter freelance,128843,4.5,San Francisco,134,CA,3.8,Marketing Copywriter,Facebook,4.5,4.3,4,4.2
,,66101,4.5,San Francisco,135,CA,3.8,Development Expert,Facebook,4.5,4.3,3,4.2
,,428372,4.5,San Francisco,136,CA,3.8,Marketing Performance Analyst,Facebook,4.5,4.3,3,4.2
,,648675,4.5,San Francisco,137,CA,3.8,UI-UX Designer,Facebook,4.5,4.3,3,4.2
,,1257676,4.5,Houston,138,TX,3.8,"Cashier Retail, Customer Service",Facebook,4.5,4.3,9,4.2
,,31205,4.5,Houston,139,TX,3.8,Energy Market Analyst,Facebook,4.5,4.3,6,4.2
,,1257461,4.5,Houston,140,TX,3.8,Continuous Process Improvement Analyst,Facebook,4.5,4.3,5,4.2
,,298593,4.5,Houston,141,TX,3.8,Maintenance Mechanic I,Facebook,4.5,4.3,5,4.2
pc technician,commercial escrow assistant,42761,4.5,Houston,142,TX,3.8,Escrow Officer,Facebook,4.5,4.3,4,4.2
,,129336,4.5,Houston,143,TX,3.8,Regional Sales Specialist,Facebook,4.5,4.3,4,4.2
,,239120,4.5,Houston,144,TX,3.8,Mobile Programmer Analyst,Facebook,4.5,4.3,3,4.2
production manager,production supervisor,47752,4.5,Houston,145,TX,3.8,Warehouse Supervisor,Facebook,4.5,4.3,3,4.2
"&#034;product engineer
	compliance manager&#034;",manager,31200,4.5,Houston,146,TX,3.8,Energy Engineer,Facebook,4.5,4.3,3,4.2
business office manager,loan processor,45791,4.5,Houston,147,TX,3.8,Customer Relations Specialist,Facebook,4.5,4.3,3,4.2
head baker,pastry cook,1268,4.5,Houston,148,TX,3.8,Pastry Chef,Facebook,4.5,4.3,3,4.2
,,312054,4.5,Houston,149,TX,3.8,Food Prep Worker,Facebook,4.5,4.3,2,4.2
,assistant actuary,18100,4.5,Houston,150,TX,3.8,Actuarial Assistant,Facebook,4.5,4.3,2,4.2
manufacturing supervisor,operations manager,36980,4.5,Houston,151,TX,3.8,Production,Facebook,4.5,4.3,2,4.2
supervisor,sales representative,13484,4.5,Houston,152,TX,3.8,Membership Coordinator,Facebook,4.5,4.3,2,4.2
,,29992,4.5,Houston,153,TX,3.8,IT Programmer/Analyst,Facebook,4.5,4.3,2,4.2
contractor,instructional design consultant,29284,4.5,Houston,154,TX,3.8,Instructional Designer,Facebook,4.5,4.3,2,4.2
planning assistant,assistant manager,28308,4.5,Houston,155,TX,3.8,Sales Trainee,Facebook,4.5,4.3,2,4.2
,,127297,4.5,Houston,156,TX,3.8,Wings Team,Facebook,4.5,4.3,2,4.2
,,1078058,4.5,Houston,157,TX,3.8,Web &amp; Social Media Specialist,Facebook,4.5,4.3,2,4.2
project manager,marketing manager,12865,4.5,Houston,158,TX,3.8,Market Research Analyst,Facebook,4.5,4.3,1,4.2
legal intern,staff writer,194651,4.5,Houston,159,TX,3.8,Social Media Intern,Facebook,4.5,4.3,1,4.2
,,563163,4.5,Houston,160,TX,3.8,Business Planning Financial Analyst,Facebook,4.5,4.3,1,4.2
customer service,customer service representative,34413,4.5,Houston,161,TX,3.8,Host,Facebook,4.5,4.3,1,4.2
account manager,account executive,13373,4.5,Houston,162,TX,3.8,Marketing Representative,Facebook,4.5,4.3,1,4.2
,vice president,136303,4.5,Houston,163,TX,3.8,Digital Marketing Intern,Facebook,4.5,4.3,1,4.2
,,13596,4.5,Houston,164,TX,3.8,Merchandiser,Facebook,4.5,4.3,1,4.2
contractor,it consultant,64814,4.5,Washington,165,DC,3.8,Systems Administrator,Facebook,4.5,4.3,11,4.2
,,28520,4.5,Washington,166,DC,3.8,SBA Business Development Officer,Facebook,4.5,4.3,10,4.2
,,4683,4.5,Washington,167,DC,3.8,Social Media Analyst,Facebook,4.5,4.3,7,4.2
,,8978,4.5,Washington,168,DC,3.8,Applications Systems Analyst,Facebook,4.5,4.3,6,4.2
,,248292,4.5,Washington,169,DC,3.8,Digital Marketing Coordinator,Facebook,4.5,4.3,5,4.2
network engineer,contractor,48214,4.5,Washington,170,DC,3.8,Windows Systems Administrator,Facebook,4.5,4.3,5,4.2
configuration,software configuration analyst,314,4.5,Washington,171,DC,3.8,Configuration Management Analyst,Facebook,4.5,4.3,4,4.2
net developer,software developer,11716,4.5,Washington,172,DC,3.8,Sharepoint Developer,Facebook,4.5,4.3,4,4.2
software engineer,test engineer,55618,4.5,Washington,173,DC,3.8,Quality Assurance Tester,Facebook,4.5,4.3,4,4.2
,,508494,4.5,Washington,174,DC,3.8,QlikView Developer,Facebook,4.5,4.3,4,4.2
datacenter engineer,senior account executive,101407,4.5,Washington,175,DC,3.8,Digital Media Specialist,Facebook,4.5,4.3,4,4.2
,,381168,4.5,Washington,176,DC,3.8,Search Marketing Strategist,Facebook,4.5,4.3,3,4.2
administrative assistant,sales associate,60233,4.5,Washington,177,DC,3.8,Customer Service Representative I,Facebook,4.5,4.3,3,4.2
systems engineer,electrical engineer,20986,4.5,Washington,178,DC,3.8,Test Engineer,Facebook,4.5,4.3,3,4.2
software developer,test engineer,4457,4.5,Washington,179,DC,3.8,Software Tester,Facebook,4.5,4.3,3,4.2
,security engineer,44304,4.5,Washington,180,DC,3.8,Security Analyst,Facebook,4.5,4.3,3,4.2
,marketing manager,68707,4.5,Washington,181,DC,3.8,Social Media Specialist,Facebook,4.5,4.3,3,4.2
it consultant,system engineer,48198,4.5,Washington,182,DC,3.8,Windows Administrator,Facebook,4.5,4.3,3,4.2
,,361362,4.5,Washington,183,DC,3.8,Oracle Database Specialist,Facebook,4.5,4.3,3,4.2
,manager,55592,4.5,Washington,184,DC,3.8,Quality Assurance Engineer,Facebook,4.5,4.3,3,4.2
,,8558,4.5,Washington,185,DC,3.8,.NET Developer,Facebook,4.5,4.3,3,4.2
,,488631,4.5,Washington,186,DC,3.8,Paid Media Specialist,Facebook,4.5,4.3,3,4.2
,senior software engineer,30270,4.5,Washington,187,DC,3.8,Software Developer,Facebook,4.5,4.3,3,4.2
unix operator,field technician,46129,4.5,Washington,188,DC,3.8,Data Center Engineer,Facebook,4.5,4.3,2,4.2
account manager,executive assistant,134375,4.5,Washington,189,DC,3.8,Social Media Coordinator,Facebook,4.5,4.3,2,4.2
,,104677,4.5,Washington,190,DC,3.8,Windows SQL Server Specialist and Database Administrator,Facebook,4.5,4.3,2,4.2
director,senior software engineer,51535,4.5,Washington,191,DC,3.8,Consultant,Facebook,4.5,4.3,2,4.2
customer service representative,head teller,20857,4.5,Philadelphia,192,PA,3.8,Teller I,Facebook,4.5,4.3,36,4.2
,,43645,4.5,Philadelphia,193,PA,3.8,Financial Services Representative I,Facebook,4.5,4.3,11,4.2
administrative assistant,sales associate,60233,4.5,Philadelphia,194,PA,3.8,Customer Service Representative I,Facebook,4.5,4.3,5,4.2
,,62853,4.5,Philadelphia,195,PA,3.8,BUSINESS SYSTEMS SPECIALIST,Facebook,4.5,4.3,5,4.2
,,342990,4.5,Philadelphia,196,PA,3.8,Information Analyst IV,Facebook,4.5,4.3,5,4.2
member service representative,receptionist,33688,4.5,Philadelphia,197,PA,3.8,Head Teller,Facebook,4.5,4.3,5,4.2
,,848566,4.5,Philadelphia,198,PA,3.8,Social Media Content Specialist,Facebook,4.5,4.3,5,4.2
,,122703,4.5,Philadelphia,199,PA,3.8,ATM Analyst,Facebook,4.5,4.3,4,4.2
,,68017,4.5,Philadelphia,200,PA,3.8,C++ Software Developer,Facebook,4.5,4.3,4,4.2
,,248079,4.5,Philadelphia,201,PA,3.8,Facilities Operations Analyst,Facebook,4.5,4.3,4,4.2
,,61856,4.5,Philadelphia,202,PA,3.8,Banking Specialist I,Facebook,4.5,4.3,4,4.2
,,54209,4.5,Philadelphia,203,PA,3.8,Digital Designer,Facebook,4.5,4.3,4,4.2
manager,project manager,33356,4.5,Philadelphia,204,PA,3.8,Reporting Analyst,Facebook,4.5,4.3,4,4.2
,,85706,4.5,Philadelphia,205,PA,3.8,Human Resources Systems Analyst,Facebook,4.5,4.3,4,4.2
,,699285,4.5,Philadelphia,206,PA,3.8,Loan Ops Representative IV,Facebook,4.5,4.3,4,4.2
,,57646,4.5,Philadelphia,207,PA,3.8,Marketing Coordinator,Facebook,4.5,4.3,4,4.2
,,283340,4.5,Philadelphia,208,PA,3.8,Corporate Tax Accountant,Facebook,4.5,4.3,3,4.2
,,80638,4.5,Philadelphia,209,PA,3.8,Corporate Accountant-analyst,Facebook,4.5,4.3,3,4.2
forklift operator,security officer,47759,4.5,Philadelphia,210,PA,3.8,Warehouse Worker,Facebook,4.5,4.3,3,4.2
corporate recruiter,contract it recruiter,1070,4.5,Philadelphia,211,PA,3.8,Contract Recruiter,Facebook,4.5,4.3,3,4.2
consultant,program director,37509,4.5,Philadelphia,212,PA,3.8,Psychologist,Facebook,4.5,4.3,3,4.2
,,45282,4.5,Philadelphia,213,PA,3.8,Corporate Financial Analyst,Facebook,4.5,4.3,3,4.2
,project lead,2607,4.5,Philadelphia,214,PA,3.8,Associate Business Analyst,Facebook,4.5,4.3,3,4.2
executive assistant,executive administrative assistant,15954,4.5,Philadelphia,215,PA,3.8,Administrative Assistant,Facebook,4.5,4.3,3,4.2
,,496048,4.5,Philadelphia,216,PA,3.8,Microsoft Exchange Engineer,Facebook,4.5,4.3,3,4.2
human resources administrator,administrative assistant,34134,4.5,Philadelphia,217,PA,3.8,Human Resources Assistant,Facebook,4.5,4.3,2,4.2
director,regional sales manager,36925,4.5,Philadelphia,218,PA,3.8,Product Specialist,Facebook,4.5,4.3,2,4.2
,,1257676,4.5,Dallas,219,TX,3.8,"Cashier Retail, Customer Service",Facebook,4.5,4.3,12,4.2
class a cdl driver,cdl driver,5993,4.5,Dallas,220,TX,3.8,Cdl Class A Driver,Facebook,4.5,4.3,6,4.2
,,1051642,4.5,Dallas,221,TX,3.8,Social Media Communications Specialist,Facebook,4.5,4.3,6,4.2
senior staff accountant,financial analyst,5361,4.5,Dallas,222,TX,3.8,Staff Accountant,Facebook,4.5,4.3,4,4.2
,,32284,4.5,Dallas,223,TX,3.8,Field Applications Engineer,Facebook,4.5,4.3,3,4.2
,,312054,4.5,Dallas,224,TX,3.8,Food Prep Worker,Facebook,4.5,4.3,3,4.2
,,1256913,4.5,Dallas,225,TX,3.8,Facebook Marketing Expert,Facebook,4.5,4.3,3,4.2
,,690002,4.5,Dallas,226,TX,3.8,Hourly Food Service Worker,Facebook,4.5,4.3,3,4.2
,,127297,4.5,Dallas,227,TX,3.8,Wings Team,Facebook,4.5,4.3,3,4.2
segment producer,supervising producer,36841,4.5,Dallas,228,TX,3.8,Producer,Facebook,4.5,4.3,2,4.2
,,215345,4.5,Dallas,229,TX,3.8,Outside Sales/Account Representative,Facebook,4.5,4.3,2,4.2
,,561009,4.5,Dallas,230,TX,3.8,Merchandise Control Associate,Facebook,4.5,4.3,2,4.2
account executive,registered dietitian,50904,4.5,Dallas,231,TX,3.8,Clinical Dietitian,Facebook,4.5,4.3,2,4.2
accounts payable analyst,accounts payable coordinator,15357,4.5,Dallas,232,TX,3.8,Accounts Payable Specialist,Facebook,4.5,4.3,2,4.2
pc technician,commercial escrow assistant,42761,4.5,Dallas,233,TX,3.8,Escrow Officer,Facebook,4.5,4.3,2,4.2
lead cook,prep cook,45091,4.5,Dallas,234,TX,3.8,Cook,Facebook,4.5,4.3,2,4.2
,,80280,4.5,Dallas,235,TX,3.8,Consulting Dietitian,Facebook,4.5,4.3,2,4.2
,,755080,4.5,Dallas,236,TX,3.8,Delinquency Specialist,Facebook,4.5,4.3,2,4.2
,,32365,4.5,Dallas,237,TX,3.8,Field Marketing Specialist,Facebook,4.5,4.3,2,4.2
,,482980,4.5,Dallas,238,TX,3.8,Billing Specialist I,Facebook,4.5,4.3,2,4.2
,,630740,4.5,Dallas,239,TX,3.8,Cashier-hourly,Facebook,4.5,4.3,2,4.2
,,303248,4.5,Dallas,240,TX,3.8,"Plant Operator: Crushing, Screening, and Washing",Facebook,4.5,4.3,2,4.2
bookkeeper,accounts payable coordinator,23487,4.5,Dallas,241,TX,3.8,Accounting Associate,Facebook,4.5,4.3,2,4.2
customer service rep,client services representative home based,751599,4.5,Dallas,242,TX,3.8,Patient Account Rep,Facebook,4.5,4.3,2,4.2
,,1066804,4.5,Dallas,243,TX,3.8,Bulk/Folder,Facebook,4.5,4.3,2,4.2
,,516056,4.5,Dallas,244,TX,3.8,Dry Plant Operator,Facebook,4.5,4.3,2,4.2
,,13142,4.5,Dallas,245,TX,3.8,Cash Poster,Facebook,4.5,4.3,1,4.2
,,142046,4.5,Dallas,246,TX,3.8,Finance and Accounting Management Trainee,Facebook,4.5,4.3,1,4.2
,,22577,4.5,Dallas,247,TX,3.8,Help,Facebook,4.5,4.3,1,4.2
